Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",1206,2,100u,C15008
"C11, C16, C27, C3, C31, C33, C35, C36, C37, C38, C4, C5, C6, C7, C8",0805,15,22u,C45783
"C12, C13, C14, C2",0805,4,4u7,C1779
"C15, C28, C29, C32, C34, C39, C40, C9",0603,8,100n,C14663
"C17, C18, C19, C20",1206,4,10u,C13585
"C21, C22",0603,2,3n3,C77036
"C23, C24, C25, C26",0603,4,680p,C342925
C30,1206,1,10n,C9194
D1,0805,1,LED Blue,C94613
"D14, D15",D_SOD-523,2,ESD 3V3,C475684
"D16, D17",0805,2,LED Green,C2297
"D18, D2, D21, D3",D_SOD-882,4,ESD 5V,C19170850
FB1,0603,1,0R,C21189
J1,PinHeader_2x05_P1.27mm_Horizontal,1,10P 1.27mm,C7470108
J2,PinHeader_2x03_P1.27mm_Horizontal,1,6P 1.27mm,C7470106
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-17,1,USB-C 6P,C2894893
J4,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,3.5mm TRS,C17701688
"R1, R24, R25, R27, R3, R6, R7",0402,7,10k,C25744
"R10, R11, R8, R9",0805,4,7k5,C136918
"R12, R13",0805,2,47R,C17714
"R14, R15, R30, R31",0402,4,33R,C25105
"R16, R17, R18, R21",0805,4,5k6,C445654
"R19, R20, R22, R23",0805,4,360R,C865427
"R26, R32, R33, R34",0603,4,5k1,C23186
"R28, R29",0402,2,22k,C25768
"R4, R5",0402,2,2k2,C25879
"SW1, SW2",SKMP,2,SW_Push,C115350
SW3,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_SPDT,C2998805
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32D,C3013936
U2,TSSOP-24_4.4x7.8mm_P0.65mm,1,PCM1789,C962089
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,LME49721,C129347
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
