Designator,Mid X,Mid Y,Rotation,Layer
C1,6.25,25.75,0.0,top
C10,2.75,19.25,90.0,top
C11,33.75,24.25,270.0,top
C12,31.75,24.25,90.0,top
C13,28.0,12.0,180.0,top
C14,28.5,25.0,180.0,top
C15,6.75,19.5,90.0,top
C16,25.5,18.5,90.0,top
C17,24.0,24.25,180.0,top
C18,24.0,21.75,180.0,top
C19,24.0,12.75,180.0,top
C2,39.0,33.0,270.0,top
C20,24.0,15.25,180.0,top
C21,17.5,23.0,270.0,top
C22,17.5,14.0,90.0,top
C23,15.0,20.25,0.0,top
C24,15.0,16.75,0.0,top
C25,10.5,23.25,180.0,top
C26,9.0,13.75,180.0,top
C27,21.615,27.25,0.0,top
C28,21.7,4.25,0.0,top
C29,10.25,4.25,0.0,top
C3,35.5,36.5,90.0,top
C30,57.0,4.0,180.0,top
C31,5.0,19.5,90.0,top
C32,20.365,34.5,0.0,top
C33,20.365,36.25,0.0,top
C34,49.75,5.5,270.0,top
C35,41.75,13.5,270.0,top
C36,46.0,5.25,90.0,top
C37,44.0,5.25,90.0,top
C38,48.0,5.25,90.0,top
C39,28.75,23.25,0.0,top
C4,37.5,36.5,90.0,top
C40,28.25,13.75,0.0,top
C5,52.25,6.0,90.0,top
C6,52.25,15.0,270.0,top
C7,28.75,35.75,270.0,top
C8,28.5,27.0,0.0,top
C9,39.25,36.5,90.0,top
D1,35.25,28.25,0.0,top
D14,18.9,4.3,180.0,top
D15,7.5,4.25,180.0,top
D16,37.5,16.0,0.0,top
D17,37.5,14.0,0.0,top
D18,52.45,12.6,180.0,top
D2,4.75,24.0,0.0,top
D21,52.45,8.4,180.0,top
D3,2.5,16.25,180.0,top
FB1,26.25,34.75,180.0,top
J1,39.172,6.25,270.0,top
J2,27.825,6.231,270.0,top
J3,57.99,10.5,90.0,top
J4,6.1,32.6,90.0,top
R1,37.5,33.75,90.0,top
R10,20.0,13.0,180.0,top
R11,20.0,15.0,180.0,top
R12,7.25,23.25,180.0,top
R13,5.75,16.0,180.0,top
R14,58.25,17.75,180.0,top
R15,39.0,27.0,180.0,top
R16,18.5,20.0,0.0,top
R17,18.5,17.0,0.0,top
R18,15.0,26.0,180.0,top
R19,15.0,24.0,180.0,top
R20,15.0,22.0,180.0,top
R21,15.0,11.0,180.0,top
R22,15.0,13.0,180.0,top
R23,15.0,15.0,180.0,top
R24,10.5,5.5,0.0,top
R25,24.2,4.5,0.0,top
R26,40.75,16.0,180.0,top
R27,41.75,11.25,0.0,top
R28,2.75,22.25,0.0,top
R29,9.25,25.75,90.0,top
R3,56.0,17.75,180.0,top
R30,39.0,24.5,180.0,top
R31,39.0,25.75,180.0,top
R32,51.75,9.75,180.0,top
R33,51.75,11.25,180.0,top
R34,38.5,28.25,180.0,top
R4,39.0,30.75,180.0,top
R5,39.0,29.5,180.0,top
R6,39.0,23.25,0.0,top
R7,39.0,18.75,0.0,top
R8,20.0,24.0,180.0,top
R9,20.0,22.0,180.0,top
SW1,5.25,8.25,180.0,top
SW2,21.0,8.25,180.0,top
SW3,28.75,32.25,0.0,top
U1,49.85,28.97,0.0,top
U2,30.75,18.5,180.0,top
U4,10.25,18.5,0.0,top
U5,19.615,31.0,270.0,top
U6,46.5,11.5,270.0,top
